Ensembl ID	Illumina ID
ENSG00000000003	0001580086
ENSG00000000003	ILMN_1730998
ENSG00000000003	ILMN_2183856
ENSG00000000005	0001340739
ENSG00000000005	ILMN_1763587
ENSG00000000419	0005340139
ENSG00000000419	ILMN_1658992
ENSG00000000419	ILMN_2105308
ENSG00000000457	0001170358
ENSG00000000457	0002060333
ENSG00000000457	ILMN_1651949
ENSG00000000457	ILMN_1683674
ENSG00000000457	ILMN_1743427
ENSG00000000460	0007040390
ENSG00000000460	ILMN_1727540
ENSG00000000938	0002450348
ENSG00000000938	ILMN_1795158
ENSG00000000938	ILMN_2272519
ENSG00000000938	ILMN_2368318
ENSG00000000971	0002970373
ENSG00000000971	ILMN_1657803
ENSG00000000971	ILMN_1698144
ENSG00000000971	ILMN_1810910
ENSG00000000971	ILMN_2412192
ENSG00000001036	0005890041
ENSG00000001036	ILMN_1744914
ENSG00000001084	0001990066
ENSG00000001084	ILMN_1730575
ENSG00000001084	ILMN_2215194
ENSG00000001167	0000670750
ENSG00000001167	0001410373
ENSG00000001167	ILMN_1690325
ENSG00000001167	ILMN_1713726
ENSG00000001460	0001190022
ENSG00000001460	0104480408
ENSG00000001460	ILMN_1679970
ENSG00000001460	ILMN_2187071
ENSG00000001461	0102030215
ENSG00000001461	ILMN_1684210
ENSG00000001497	0004120739
ENSG00000001497	ILMN_1774890
ENSG00000001561	0003170551
ENSG00000001561	ILMN_1693675
ENSG00000001561	ILMN_1781761
ENSG00000001617	0002650670
ENSG00000001617	ILMN_1761540
ENSG00000001626	ILMN_1705813
ENSG00000001629	0006020487
ENSG00000001629	0103390278
ENSG00000001630	0002650053
ENSG00000001630	ILMN_1664718
ENSG00000001631	0006900082
ENSG00000001631	ILMN_1811261
ENSG00000001631	ILMN_2323413
ENSG00000001631	ILMN_2323418
ENSG00000002016	0000360195
ENSG00000002016	0003830315
ENSG00000002016	0004670670
ENSG00000002016	ILMN_1731051
ENSG00000002016	ILMN_1781345
ENSG00000002016	ILMN_1810457
ENSG00000002079	0100060288
ENSG00000002079	ILMN_1699717
ENSG00000002079	ILMN_1892643
ENSG00000002079	ILMN_2233334
ENSG00000002079	ILMN_2233339
ENSG00000002330	0002350358
ENSG00000002330	0004050010
ENSG00000002330	ILMN_1720360
ENSG00000002330	ILMN_1738652
ENSG00000002549	0005670601
ENSG00000002549	ILMN_1683792
ENSG00000002586	0002190563
ENSG00000002586	ILMN_1785188
ENSG00000002586	ILMN_2056032
ENSG00000002587	0001170068
ENSG00000002587	ILMN_1796150
ENSG00000002587	ILMN_2228035
ENSG00000002726	0000380333
ENSG00000002726	ILMN_1731433
ENSG00000002745	0004120035
ENSG00000002745	0004780551
ENSG00000002745	0006290519
ENSG00000002745	ILMN_1679215
ENSG00000002745	ILMN_1731964
ENSG00000002746	0000430373
ENSG00000002746	ILMN_1790645
ENSG00000002822	0000510373
ENSG00000002822	ILMN_1807902
ENSG00000002822	ILMN_2358069
ENSG00000002822	ILMN_2358074
ENSG00000002834	0000870242
ENSG00000002834	ILMN_1665909
ENSG00000002834	ILMN_1713320
ENSG00000002919	0004920204
ENSG00000002919	0006650019
ENSG00000002919	ILMN_1683950
ENSG00000002919	ILMN_1696051
ENSG00000002933	0000870181
ENSG00000002933	ILMN_1791511
ENSG00000003056	0004760446
ENSG00000003056	ILMN_1682589
ENSG00000003056	ILMN_2084353
ENSG00000003096	0000070398
ENSG00000003096	ILMN_1719919
ENSG00000003096	ILMN_2140510
ENSG00000003137	0001660010
ENSG00000003137	ILMN_1812297
ENSG00000003147	0006130017
ENSG00000003147	0007050121
ENSG00000003147	ILMN_1694399
ENSG00000003147	ILMN_1814787
ENSG00000003147	ILMN_2270909
ENSG00000003147	ILMN_2365569
ENSG00000003249	0005130725
ENSG00000003249	ILMN_1757631
ENSG00000003249	ILMN_2374352
ENSG00000003393	0006420446
ENSG00000003393	ILMN_1750256
ENSG00000003400	0000060452
ENSG00000003400	0002810537
ENSG00000003400	ILMN_1797578
ENSG00000003400	ILMN_2321720
ENSG00000003402	0000580435
ENSG00000003402	ILMN_1789830
ENSG00000003436	0005340551
ENSG00000003436	ILMN_1662619
ENSG00000003436	ILMN_1701032
ENSG00000003436	ILMN_1707124
ENSG00000003509	0001500671
ENSG00000003509	0003140050
ENSG00000003509	ILMN_1722186
ENSG00000003509	ILMN_1787370
ENSG00000003509	ILMN_2394132
ENSG00000003756	0003140092
ENSG00000003756	ILMN_1786893
ENSG00000003987	0002640369
ENSG00000003987	0101690451
ENSG00000003987	ILMN_1787658
ENSG00000003989	0004560100
ENSG00000003989	ILMN_1685830
ENSG00000003989	ILMN_1711451
ENSG00000003989	ILMN_1781400
ENSG00000004059	0006180736
ENSG00000004059	ILMN_1752340
ENSG00000004139	0004730603
ENSG00000004139	ILMN_1746265
ENSG00000004142	0001450181
ENSG00000004142	ILMN_1743499
ENSG00000004399	0000050685
ENSG00000004399	ILMN_1675222
ENSG00000004455	0000730315
ENSG00000004455	0000780576
ENSG00000004455	0006840100
ENSG00000004455	ILMN_1655645
ENSG00000004455	ILMN_1670542
ENSG00000004455	ILMN_1716053
ENSG00000004468	0000870168
ENSG00000004468	ILMN_1754039
ENSG00000004468	ILMN_2233783
ENSG00000004478	0004590132
ENSG00000004478	ILMN_1782045
ENSG00000004487	0006940563
